City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
10,Harper,LR,80.71,clear sky,4.375,-7.7169,Screensaver
11,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
15,Vanimo,PG,76.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
17,Huarmey,PE,78.6,scattered clouds,-10.0681,-78.1522,Hotel Miramar
18,Fare,PF,81.81,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
22,Rikitea,PF,79.66,light rain,-23.1203,-134.9692,People ThankYou
23,Boa Vista,BR,80.58,light rain,2.8197,-60.6733,Aipana Plaza Hotel
24,Merauke,ID,77.5,moderate rain,-8.4667,140.3333,
27,San Rafael,AR,76.51,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
29,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
36,Mlonggo,ID,78.69,moderate rain,-6.5333,110.7,Asia Metal Art
38,Pedernales,DO,83.75,scattered clouds,18.0384,-71.744,Hotel Costa Marina
42,Namatanai,PG,79.0,light rain,-3.6667,152.4333,Seagulls Inn Namatani
43,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
45,Georgetown,MY,77.95,scattered clouds,5.4112,100.3354,Cititel Penang
49,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
54,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
61,Upata,VE,87.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
62,Butaritari,KI,81.82,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
66,Poya,NC,75.43,broken clouds,-21.35,165.15,
71,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
75,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
77,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
80,Imbituba,BR,87.69,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
88,Vangaindrano,MG,75.74,scattered clouds,-23.35,47.6,Hotel Fanilo
92,Omboue,GA,78.89,light rain,-1.5746,9.2618,Hotel Olako
93,Amahai,ID,78.44,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
99,Agadez,NE,83.3,overcast clouds,19.75,10.25,
100,Kavieng,PG,81.41,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
103,Sinnar,SD,89.4,scattered clouds,13.5691,33.5672,هجو الطاهر
105,Lorengau,PG,77.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
108,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
110,San Patricio,US,85.05,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
111,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
122,Bambous Virieux,MU,81.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
123,Celestun,MX,84.63,clear sky,20.8667,-90.4,Posada Lilia
126,Roebourne,AU,83.89,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
130,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
133,Atuona,PF,77.13,light rain,-9.8,-139.0333,Villa Enata
134,Finschhafen,PG,79.29,broken clouds,-6.6024,147.8681,Cossam Guest House
135,Bilma,NE,86.56,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
138,Moranbah,AU,78.78,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
140,Sulangan,PH,79.83,light rain,11.1373,123.7228,Maia's Beach Resort
141,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
142,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
145,Hamilton,US,75.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
