City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Bluff,NZ,2022-03-05 18:54:38,-46.6,168.3333,64.8,71,93,14.85,overcast clouds
1,Busselton,AU,2022-03-05 18:54:39,-33.65,115.3333,66.04,73,0,11.86,clear sky
2,Khatanga,RU,2022-03-05 18:54:39,71.9667,102.5,-22.95,99,99,7.2,overcast clouds
3,Leh,IN,2022-03-05 18:54:39,34.1667,77.5833,9.41,65,85,2.04,overcast clouds
4,Bredasdorp,ZA,2022-03-05 18:54:40,-34.5322,20.0403,71.28,73,0,13.8,clear sky
5,Hilo,US,2022-03-05 18:50:11,19.7297,-155.09,71.26,64,100,4.61,overcast clouds
6,Ribeira Grande,PT,2022-03-05 18:54:40,38.5167,-28.7,63.0,94,75,9.22,broken clouds
7,Norrtalje,SE,2022-03-05 18:54:41,59.758,18.705,35.44,84,16,8.9,few clouds
8,Hurghada,EG,2022-03-05 18:54:41,27.2574,33.8129,69.84,46,0,0.0,clear sky
9,Yzeure,FR,2022-03-05 18:54:42,46.5644,3.355,43.79,73,0,4.0,clear sky
10,Harper,LR,2022-03-05 18:52:32,4.375,-7.7169,80.71,83,9,7.78,clear sky
11,Vaini,TO,2022-03-05 18:54:42,-21.2,-175.2,78.96,94,75,6.91,broken clouds
12,Northam,GB,2022-03-05 18:54:42,51.0333,-4.2167,45.01,70,12,11.72,few clouds
13,Kysyl-Syr,RU,2022-03-05 18:54:43,63.8986,122.7617,0.79,97,98,5.48,overcast clouds
14,Lasa,IT,2022-03-05 18:54:43,46.6166,10.7002,36.48,87,39,3.2,scattered clouds
15,Vanimo,PG,2022-03-05 18:53:48,-2.6741,141.3028,76.86,91,100,6.58,overcast clouds
16,Punta Arenas,CL,2022-03-05 18:53:00,-53.15,-70.9167,50.11,50,40,40.29,scattered clouds
17,Huarmey,PE,2022-03-05 18:52:35,-10.0681,-78.1522,78.6,67,37,11.65,scattered clouds
18,Fare,PF,2022-03-05 18:47:14,-16.7,-151.0167,81.81,73,3,19.44,light rain
19,Port Hardy,CA,2022-03-05 18:54:44,50.6996,-127.4199,49.75,76,40,12.66,scattered clouds
20,Portland,US,2022-03-05 18:51:01,45.5234,-122.6762,51.17,83,75,4.61,broken clouds
21,Helena,US,2022-03-05 18:54:45,46.5927,-112.0361,29.8,61,7,3.0,clear sky
22,Rikitea,PF,2022-03-05 18:54:45,-23.1203,-134.9692,79.66,76,11,22.59,light rain
23,Boa Vista,BR,2022-03-05 18:47:03,2.8197,-60.6733,80.58,74,75,4.61,light rain
24,Merauke,ID,2022-03-05 18:52:42,-8.4667,140.3333,77.5,90,100,6.06,moderate rain
25,Ushuaia,AR,2022-03-05 18:54:24,-54.8,-68.3,47.86,61,75,25.32,broken clouds
26,Mataura,NZ,2022-03-05 18:54:46,-46.1927,168.8643,64.47,74,99,3.4,overcast clouds
27,San Rafael,AR,2022-03-05 18:54:46,-34.6177,-68.3301,76.51,27,34,11.74,scattered clouds
28,Qaanaaq,GL,2022-03-05 18:54:47,77.484,-69.3632,1.31,71,0,6.69,clear sky
29,Avarua,CK,2022-03-05 18:54:47,-21.2078,-159.775,80.65,83,75,10.36,broken clouds
30,Jamestown,US,2022-03-05 18:53:16,42.097,-79.2353,52.95,29,0,10.36,clear sky
31,New Norfolk,AU,2022-03-05 18:54:48,-42.7826,147.0587,56.7,55,77,1.99,broken clouds
32,Namasuba,UG,2022-03-05 18:54:48,0.6894,32.4214,65.97,75,90,3.13,overcast clouds
33,Albany,US,2022-03-05 18:54:49,42.6001,-73.9662,41.74,46,100,1.99,overcast clouds
34,Yerbogachen,RU,2022-03-05 18:54:49,61.2767,108.0108,8.98,94,100,8.88,light snow
35,Yuncheng,CN,2022-03-05 18:54:49,35.0231,110.9928,47.62,38,100,6.29,overcast clouds
36,Mlonggo,ID,2022-03-05 18:54:50,-6.5333,110.7,78.69,91,99,8.81,moderate rain
37,Upernavik,GL,2022-03-05 18:54:50,72.7868,-56.1549,-1.7,94,53,15.21,broken clouds
38,Pedernales,DO,2022-03-05 18:54:50,18.0384,-71.744,83.75,62,32,7.16,scattered clouds
39,Maniitsoq,GL,2022-03-05 18:54:51,65.4167,-52.9,30.15,56,25,14.58,scattered clouds
40,Leningradskiy,RU,2022-03-05 18:47:00,69.3833,178.4167,-23.28,98,78,5.03,broken clouds
41,Yellowknife,CA,2022-03-05 18:53:00,62.456,-114.3525,17.42,86,75,5.75,light snow
42,Namatanai,PG,2022-03-05 18:55:51,-3.6667,152.4333,79.0,81,100,1.52,light rain
43,Souillac,MU,2022-03-05 18:55:52,-20.5167,57.5167,81.36,89,75,9.22,broken clouds
44,North Augusta,US,2022-03-05 18:55:52,33.5018,-81.9651,74.37,68,75,5.75,broken clouds
45,Georgetown,MY,2022-03-05 18:55:52,5.4112,100.3354,77.95,99,40,8.05,scattered clouds
46,Codrington,AU,2022-03-05 18:55:53,-38.2667,141.9667,59.86,66,100,21.68,overcast clouds
47,Metro,ID,2022-03-05 18:55:53,-5.1131,105.3067,74.71,94,100,3.33,overcast clouds
48,Thompson,CA,2022-03-05 18:42:14,55.7435,-97.8558,15.96,48,75,4.61,broken clouds
49,Cockburn Town,TC,2022-03-05 18:55:31,21.4612,-71.1419,78.76,65,75,19.57,broken clouds
50,Hovd,MN,2022-03-05 18:55:54,48.0056,91.6419,7.05,71,2,5.19,clear sky
51,Hasaki,JP,2022-03-05 18:55:54,35.7333,140.8333,45.28,46,99,15.55,overcast clouds
52,Albemarle,US,2022-03-05 18:55:54,35.3501,-80.2001,72.72,53,40,0.0,scattered clouds
53,Nanortalik,GL,2022-03-05 18:55:55,60.1432,-45.2371,24.69,80,100,23.67,light snow
54,Cape Town,ZA,2022-03-05 18:53:38,-33.9258,18.4232,75.11,58,0,14.97,clear sky
55,Malanje,AO,2022-03-05 18:55:55,-9.5402,16.341,65.28,90,92,2.64,light rain
56,Ahipara,NZ,2022-03-05 18:55:56,-35.1667,173.1667,63.36,84,54,7.63,broken clouds
57,Norman Wells,CA,2022-03-05 18:48:25,65.282,-126.8329,-2.16,78,20,3.44,few clouds
58,Luderitz,NA,2022-03-05 18:55:56,-26.6481,15.1594,70.18,73,0,7.87,clear sky
59,Kodiak,US,2022-03-05 18:55:57,57.79,-152.4072,36.36,93,100,4.65,overcast clouds
60,Asau,RO,2022-03-05 18:55:57,46.4333,26.4,31.28,94,90,1.72,overcast clouds
61,Upata,VE,2022-03-05 18:55:58,8.0086,-62.3989,87.19,37,98,5.21,overcast clouds
62,Butaritari,KI,2022-03-05 18:55:58,3.0707,172.7902,81.82,79,40,17.98,scattered clouds
63,Tuktoyaktuk,CA,2022-03-05 18:55:58,69.4541,-133.0374,10.4,72,20,14.97,few clouds
64,Salamiyah,SY,2022-03-05 18:55:59,35.0113,37.0532,48.38,73,39,5.95,scattered clouds
65,Lompoc,US,2022-03-05 18:51:07,34.6391,-120.4579,57.13,63,75,19.57,broken clouds
66,Poya,NC,2022-03-05 18:55:59,-21.35,165.15,75.43,82,65,1.1,broken clouds
67,Chokurdakh,RU,2022-03-05 18:56:00,70.6333,147.9167,-28.26,100,100,3.24,overcast clouds
68,Tiksi,RU,2022-03-05 18:56:00,71.6872,128.8694,-18.29,99,63,5.17,broken clouds
69,Tres De Maio,BR,2022-03-05 18:56:00,-27.7733,-54.24,91.11,24,72,11.41,broken clouds
70,La Ronge,CA,2022-03-05 18:56:01,55.1001,-105.2842,16.02,44,75,3.44,broken clouds
71,Pisco,PE,2022-03-05 18:56:01,-13.7,-76.2167,75.25,73,0,10.36,clear sky
72,Ardatov,RU,2022-03-05 18:56:02,55.2421,43.097,25.25,84,100,16.51,overcast clouds
73,Ola,RU,2022-03-05 18:56:02,59.5833,151.2833,-4.7,87,16,9.26,few clouds
74,Panaba,MX,2022-03-05 18:56:02,21.2833,-88.2667,92.46,34,56,15.1,broken clouds
75,Arraial Do Cabo,BR,2022-03-05 18:56:03,-22.9661,-42.0278,89.56,61,0,14.97,clear sky
76,Port Elizabeth,ZA,2022-03-05 18:51:32,-33.918,25.5701,71.89,88,40,10.36,scattered clouds
77,Saint-Georges,GD,2022-03-05 18:56:04,12.0564,-61.7485,85.68,54,40,25.32,scattered clouds
78,Cherskiy,RU,2022-03-05 18:56:05,68.75,161.3,-34.11,100,84,3.31,broken clouds
79,Barrow,US,2022-03-05 18:56:05,71.2906,-156.7887,8.65,89,100,9.28,overcast clouds
80,Imbituba,BR,2022-03-05 18:56:05,-28.24,-48.6703,87.69,76,8,15.32,clear sky
81,Hobart,AU,2022-03-05 18:53:48,-42.8794,147.3294,57.06,64,100,19.57,overcast clouds
82,College,US,2022-03-05 18:50:34,64.8569,-147.8028,19.65,87,75,0.0,broken clouds
83,Pacific Grove,US,2022-03-05 18:46:36,36.6177,-121.9166,52.9,73,100,21.99,overcast clouds
84,Liuhe,CN,2022-03-05 18:56:06,42.2401,125.7172,12.81,81,9,5.01,clear sky
85,Ossora,RU,2022-03-05 18:56:06,59.2353,163.0719,11.5,94,100,8.72,overcast clouds
86,Acajutla,SV,2022-03-05 18:57:07,13.5928,-89.8275,92.8,49,95,11.43,overcast clouds
87,Algiers,DZ,2022-03-05 18:48:50,36.7525,3.042,53.42,82,40,6.91,scattered clouds
88,Vangaindrano,MG,2022-03-05 18:57:07,-23.35,47.6,75.74,90,30,4.23,scattered clouds
89,Santa Fe,AR,2022-03-05 18:54:01,-31.6333,-60.7,73.02,98,100,1.99,heavy intensity rain
90,Beloha,MG,2022-03-05 18:57:08,-25.1667,45.05,73.78,85,7,13.51,clear sky
91,Skibbereen,IE,2022-03-05 18:52:35,51.55,-9.2667,44.4,69,5,7.34,clear sky
92,Omboue,GA,2022-03-05 18:57:08,-1.5746,9.2618,78.89,86,97,5.77,light rain
93,Amahai,ID,2022-03-05 18:57:08,-3.3333,128.9167,78.44,84,97,4.03,overcast clouds
94,Wanning,CN,2022-03-05 18:48:23,18.8003,110.3967,70.5,92,66,3.27,broken clouds
95,Carnarvon,AU,2022-03-05 18:47:10,-24.8667,113.6333,71.67,73,5,6.91,clear sky
96,Puerto Carreno,CO,2022-03-05 18:55:11,6.189,-67.4859,95.99,34,96,10.2,overcast clouds
97,Bethel,US,2022-03-05 18:55:33,41.3712,-73.414,45.18,42,100,8.05,overcast clouds
98,Rolla,US,2022-03-05 18:55:16,37.9514,-91.7713,70.93,56,100,23.0,overcast clouds
99,Agadez,NE,2022-03-05 18:57:09,19.75,10.25,83.3,14,100,7.76,overcast clouds
100,Kavieng,PG,2022-03-05 18:57:10,-2.5744,150.7967,81.41,77,100,5.01,overcast clouds
101,Valdivia,CL,2022-03-05 18:57:10,-39.8142,-73.2459,65.01,49,83,7.45,broken clouds
102,Panguipulli,CL,2022-03-05 18:57:11,-39.6333,-72.3333,69.21,34,49,4.54,scattered clouds
103,Sinnar,SD,2022-03-05 18:57:11,13.5691,33.5672,89.4,22,43,10.13,scattered clouds
104,Waipawa,NZ,2022-03-05 18:57:11,-41.4122,175.5153,61.45,77,54,7.27,broken clouds
